baseline_id,model,split,query_row,relative_l2
B9,mf_fno_transfer,evaluation,15,0.10934674656081914
B9,mf_fno_transfer,evaluation,16,0.09935303411663887
B10,mf_fno_transfer_bar,calibration,0,0.05471911174926743
B10,mf_fno_transfer_bar,calibration,1,0.07732560408845504
B10,mf_fno_transfer_bar,calibration,2,0.08238937366180177
B10,mf_fno_transfer_bar,calibration,3,0.08228514376580302
B10,mf_fno_transfer_bar,calibration,4,0.088444011560164
B10,mf_fno_transfer_bar,calibration,5,0.08280582842471369
B10,mf_fno_transfer_bar,calibration,6,0.08437118590958279
B10,mf_fno_transfer_bar,calibration,7,0.08902458562664876
B10,mf_fno_transfer_bar,calibration,8,0.09327506134008129
B10,mf_fno_transfer_bar,calibration,9,0.09068573251888383
B10,mf_fno_transfer_bar,evaluation,10,0.13303806670538962
B10,mf_fno_transfer_bar,evaluation,11,0.12024031063851075
B10,mf_fno_transfer_bar,evaluation,12,0.11793250353826458
B10,mf_fno_transfer_bar,evaluation,13,0.1343451849224354
B10,mf_fno_transfer_bar,evaluation,14,0.11795934236162799
B10,mf_fno_transfer_bar,evaluation,15,0.10934674656081914
B10,mf_fno_transfer_bar,evaluation,16,0.09935303411663887
B11,st_lf_affine_pod,calibration,0,0.07805948318352046
B11,st_lf_affine_pod,calibration,1,0.0747002105798059
B11,st_lf_affine_pod,calibration,2,0.08034668698005053
B11,st_lf_affine_pod,calibration,3,0.07929259822614249
B11,st_lf_affine_pod,calibration,4,0.07848335280377429
B11,st_lf_affine_pod,calibration,5,0.07915544373421282
B11,st_lf_affine_pod,calibration,6,0.08097916597961038
B11,st_lf_affine_pod,calibration,7,0.08345213806223749
B11,st_lf_affine_pod,calibration,8,0.08067793289224866
B11,st_lf_affine_pod,calibration,9,0.08582285261088421
B11,st_lf_affine_pod,evaluation,10,0.08292049063930902
B11,st_lf_affine_pod,evaluation,11,0.08862282236621352
B11,st_lf_affine_pod,evaluation,12,0.079166431008281
B11,st_lf_affine_pod,evaluation,13,0.0891517752805612
B11,st_lf_affine_pod,evaluation,14,0.08109102058925792
B11,st_lf_affine_pod,evaluation,15,0.09127591610898851
B11,st_lf_affine_pod,evaluation,16,0.07896889412427349
B12,st_knn,calibration,0,0.0343909990881322
B12,st_knn,calibration,1,0.03757323910369158
B12,st_knn,calibration,2,0.04350400803633565
B12,st_knn,calibration,3,0.03307237092245797
B12,st_knn,calibration,4,0.03781975429328871
B12,st_knn,calibration,5,0.047968134662268326
B12,st_knn,calibration,6,0.047020844730796464
B12,st_knn,calibration,7,0.05218825730099548
B12,st_knn,calibration,8,0.036165283182657514
B12,st_knn,calibration,9,0.04057988319673195
B12,st_knn,evaluation,10,0.04284908905864114
B12,st_knn,evaluation,11,0.06358141487711459
B12,st_knn,evaluation,12,0.04557940912705218
B12,st_knn,evaluation,13,0.05457888616932739
B12,st_knn,evaluation,14,0.04896376354903746
B12,st_knn,evaluation,15,0.06384337154651376
B12,st_knn,evaluation,16,0.042097653743263304
