dataset,pde_class,method,relative_l2,error_percent,ratio_to_calibrated_single
sharp__helmholtz_2d,elliptic,uqcorr_transolver_pred,0.10937613378841528,10.937613378841528,1.7511597103335643
sharp__helmholtz_2d,elliptic,uqcorr_convnext_pred,0.10805263817862665,10.805263817862665,1.7299699671200344
sharp__helmholtz_2d,elliptic,single_l2,0.0624592566531702,6.245925665317021,1.0
sharp__helmholtz_2d,elliptic,inverse_mse,0.06888586722958985,6.888586722958985,1.1028928444042483
sharp__helmholtz_2d,elliptic,full,0.06552195592249474,6.552195592249474,1.0490351540097793
poisson_generated_v2,elliptic,mf_fno_transfer_film,0.0004132938621665896,0.04132938621665896,6.039291562199735
poisson_generated_v2,elliptic,mf_fno_allpairs,0.00038716113321883463,0.03871611332188346,5.657424847305687
poisson_generated_v2,elliptic,convnext_unet_film,0.00042676809023905197,0.04267680902390519,6.2361848610224895
poisson_generated_v2,elliptic,fno_fire_distcond,0.0006106673142749438,0.06106673142749438,8.923427846420065
poisson_generated_v2,elliptic,wno_transfer_film,0.0009546938367628034,0.09546938367628034,13.950544541408346
poisson_generated_v2,elliptic,mf_deeponet,0.099155241951272,9.9155241951272,1448.9143703344332
poisson_generated_v2,elliptic,st_hf_pod_gp,6.843416283350502e-05,0.0068434162833505025,1.0
poisson_generated_v2,elliptic,uqcorr_transolver_pred,0.001279347614569646,0.12793476145696459,18.69457536409408
poisson_generated_v2,elliptic,uqcorr_convnext_pred,0.0008380129363483847,0.08380129363483847,12.2455350025572
poisson_generated_v2,elliptic,single_l2,6.843416283350502e-05,0.0068434162833505025,1.0
poisson_generated_v2,elliptic,inverse_mse,7.996322831232387e-05,0.007996322831232387,1.1684694456899862
poisson_generated_v2,elliptic,full,7.882190582979432e-05,0.007882190582979433,1.1517917742569872
poisson_local,elliptic,mf_fno_transfer_film,0.002558355693479737,0.2558355693479737,21.155672032354815
poisson_local,elliptic,mf_fno_allpairs,0.00535569030527788,0.535569030527788,44.287519477486
poisson_local,elliptic,convnext_unet_film,0.0020030429939763804,0.20030429939763805,16.563654833168723
poisson_local,elliptic,fno_fire_distcond,0.2553185041468843,25.531850414688428,2111.2914640013046
poisson_local,elliptic,wno_transfer_film,0.008806129875826949,0.8806129875826949,72.82005234929694
poisson_local,elliptic,mf_deeponet,0.2655117929249566,26.551179292495657,2195.5822742547725
poisson_local,elliptic,st_hf_pod_gp,0.0001209300129803047,0.012093001298030471,1.0
poisson_local,elliptic,uqcorr_transolver_pred,0.009213537840020294,0.9213537840020294,76.18900893958275
poisson_local,elliptic,uqcorr_convnext_pred,0.0079848130236403,0.79848130236403,66.02838143200024
poisson_local,elliptic,single_l2,0.0001209300129803047,0.012093001298030471,1.0
poisson_local,elliptic,inverse_mse,0.0001250059384791473,0.01250059384791473,1.033704829747322
poisson_local,elliptic,full,0.00012912829963178293,0.012912829963178293,1.0677936473290004
ext__pressure_poisson_poiseuille,elliptic,mf_fno_transfer_film,0.0005985781518779199,0.059857815187791985,0.8160390428450843
ext__pressure_poisson_poiseuille,elliptic,mf_fno_allpairs,0.0006953215762798026,0.06953215762798026,0.9479289409357338
ext__pressure_poisson_poiseuille,elliptic,convnext_unet_film,0.0009177812702817067,0.09177812702817068,1.2512072934706397
ext__pressure_poisson_poiseuille,elliptic,fno_fire_distcond,0.0008712123098376317,0.08712123098376316,1.1877200282107072
ext__pressure_poisson_poiseuille,elliptic,wno_transfer_film,0.0004975749450668674,0.04975749450668674,0.6783418015545511
ext__pressure_poisson_poiseuille,elliptic,mf_deeponet,0.002847066754032224,0.28470667540322236,3.8813939693381228
ext__pressure_poisson_poiseuille,elliptic,st_hf_pod_gp,0.000921560486146123,0.0921560486146123,1.256359482348613
ext__pressure_poisson_poiseuille,elliptic,uqcorr_transolver_pred,0.003087737515212368,0.3087737515212368,4.209499392127256
ext__pressure_poisson_poiseuille,elliptic,uqcorr_convnext_pred,0.0014456665126570227,0.14456665126570228,1.9708709941395122
ext__pressure_poisson_poiseuille,elliptic,single_l2,0.0007335165604221624,0.07335165604221623,1.0
ext__pressure_poisson_poiseuille,elliptic,inverse_mse,0.0007685835865374571,0.07685835865374571,1.0478067272197815
ext__pressure_poisson_poiseuille,elliptic,full,0.0008024092898561945,0.08024092898561945,1.0939211643625089
