dataset,pde_class,calibration_budget,method,mean_relative_l2,error_percent,ratio_to_selected_single
sharp__shallow_water_2d,waves,5,inverse_mse,0.0035746477753025637,0.35746477753025635,0.9748352906206905
sharp__shallow_water_2d,waves,5,full,0.0038854817767385516,0.3885481776738552,1.059602230798173
sharp__shallow_water_2d,waves,5,allpairs,0.0036669248740744073,0.3666924874074407,1.0
ext__wave_2d,waves,5,single_l2,0.048407347923066175,4.840734792306618,1.0
ext__wave_2d,waves,5,uniform,0.10901669138311958,10.901669138311957,2.2520690775371515
ext__wave_2d,waves,5,inverse_mse,0.04393511711604717,4.393511711604717,0.9076125629909176
ext__wave_2d,waves,5,full,0.042745841023144326,4.274584102314432,0.883044472733361
ext__wave_2d,waves,5,allpairs,0.06309276956976854,6.309276956976855,1.3033717457531844
darcy_generated,elliptic,10,single_l2,0.02318965202150478,2.318965202150478,1.0
darcy_generated,elliptic,10,uniform,0.04837468017078467,4.837468017078467,2.086045971104901
darcy_generated,elliptic,10,inverse_mse,0.02555614956738139,2.5556149567381388,1.1020497221640952
darcy_generated,elliptic,10,full,0.023123058207527122,2.3123058207527123,0.9971282961074233
darcy_generated,elliptic,10,allpairs,0.034407136731107034,3.4407136731107033,1.4837280308992904
ext__eikonal_2d,elliptic,10,single_l2,0.018088125382175312,1.8088125382175313,1.0
ext__eikonal_2d,elliptic,10,uniform,0.022000198688157866,2.2000198688157866,1.216278537622127
ext__eikonal_2d,elliptic,10,inverse_mse,0.017857629766979473,1.7857629766979473,0.9872570755495217
ext__eikonal_2d,elliptic,10,full,0.017229567925505687,1.7229567925505687,0.9525347464964126
ext__eikonal_2d,elliptic,10,allpairs,0.021513039550523857,2.1513039550523856,1.1893459988796615
sharp__helmholtz_2d,elliptic,10,single_l2,0.0479048623916116,4.79048623916116,1.0
sharp__helmholtz_2d,elliptic,10,uniform,0.0714405060124705,7.1440506012470495,1.4912996811985442
sharp__helmholtz_2d,elliptic,10,inverse_mse,0.06080394020900088,6.080394020900088,1.2692644790823568
sharp__helmholtz_2d,elliptic,10,full,0.05106598181197514,5.106598181197515,1.0659874439158619
sharp__helmholtz_2d,elliptic,10,allpairs,0.034775822177689215,3.4775822177689215,0.7259351231072245
poisson_generated_v2,elliptic,10,single_l2,6.843416283350502e-05,0.0068434162833505025,1.0
poisson_generated_v2,elliptic,10,uniform,0.011053610618380677,1.1053610618380676,161.5218212762133
poisson_generated_v2,elliptic,10,inverse_mse,7.674749800979049e-05,0.0076747498009790485,1.1214793143084274
poisson_generated_v2,elliptic,10,full,7.231219122965278e-05,0.007231219122965278,1.0566680183636161
poisson_generated_v2,elliptic,10,allpairs,0.00038716113321883463,0.03871611332188346,5.657424847305687
poisson_local,elliptic,10,single_l2,0.0001209300129803047,0.012093001298030471,1.0
poisson_local,elliptic,10,uniform,0.042509963346055495,4.250996334605549,351.52533517861184
poisson_local,elliptic,10,inverse_mse,0.00012918073393958465,0.012918073393958465,1.0682272395077284
poisson_local,elliptic,10,full,0.00012442076140522392,0.012442076140522392,1.0288658566958704
poisson_local,elliptic,10,allpairs,0.00535569030527788,0.535569030527788,44.287519477486
ext__pressure_poisson_poiseuille,elliptic,10,single_l2,0.0007771853069501591,0.07771853069501591,1.0
ext__pressure_poisson_poiseuille,elliptic,10,uniform,0.0008851890284157071,0.08851890284157071,1.1389677860604153
ext__pressure_poisson_poiseuille,elliptic,10,inverse_mse,0.000697898923269722,0.0697898923269722,0.8979826523077569
ext__pressure_poisson_poiseuille,elliptic,10,full,0.0006880384460779455,0.06880384460779455,0.8852952312981252
ext__pressure_poisson_poiseuille,elliptic,10,allpairs,0.0006953215762798026,0.06953215762798026,0.8946663943099912
heat_generated,diffusion,10,single_l2,9.146040517147266e-05,0.009146040517147265,1.0
heat_generated,diffusion,10,uniform,0.0025853579039850317,0.25853579039850316,28.267509849075417
heat_generated,diffusion,10,inverse_mse,5.8672596952518806e-05,0.005867259695251881,0.641508167851626
heat_generated,diffusion,10,full,6.0272138130529504e-05,0.0060272138130529505,0.6589970601762536
heat_generated,diffusion,10,allpairs,0.00012515762609369063,0.012515762609369062,1.3684350715376936
heat_local,diffusion,10,single_l2,6.6198354238464e-05,0.006619835423846399,1.0
heat_local,diffusion,10,uniform,0.001826635244107857,0.1826635244107857,27.59336338676689
heat_local,diffusion,10,inverse_mse,4.323448410336922e-05,0.004323448410336922,0.6531051202213753
heat_local,diffusion,10,full,4.289428068765775e-05,0.004289428068765775,0.6479659680532418
heat_local,diffusion,10,allpairs,8.783192215392346e-05,0.008783192215392347,1.3267991804981982
lid_driven_cavity_v2,convection,10,single_l2,0.0016429439414948936,0.16429439414948935,1.0
lid_driven_cavity_v2,convection,10,uniform,0.2749684271957638,27.49684271957638,167.36324365734205
lid_driven_cavity_v2,convection,10,inverse_mse,0.0013817167359252355,0.13817167359252355,0.8410005363104655
lid_driven_cavity_v2,convection,10,full,0.0013775899454046107,0.1377589945404611,0.8384887095728655
lid_driven_cavity_v2,convection,10,allpairs,0.0028989528097758954,0.28989528097758954,1.7644867463573806
fluid,convection,10,single_l2,0.015517467787974484,1.5517467787974484,1.0
fluid,convection,10,uniform,0.016838405734127006,1.6838405734127007,1.0851258700324937
fluid,convection,10,inverse_mse,0.015316245429059794,1.5316245429059794,0.9870325260755088
fluid,convection,10,full,0.015481302283133783,1.5481302283133782,0.9976693681382263
fluid,convection,10,allpairs,0.016852064993955435,1.6852064993955436,1.0860061206001161
ext__rayleigh_benard_2d,convection,10,single_l2,3.0089903282056452e-05,0.003008990328205645,1.0
ext__rayleigh_benard_2d,convection,10,uniform,0.00037796907470869515,0.037796907470869515,12.561325676779092
ext__rayleigh_benard_2d,convection,10,inverse_mse,2.848001116549893e-05,0.002848001116549893,0.9464972651634427
ext__rayleigh_benard_2d,convection,10,full,2.664247018682857e-05,0.0026642470186828567,0.8854289074008524
ext__rayleigh_benard_2d,convection,10,allpairs,9.150088013377012e-05,0.009150088013377012,3.040916392321372
sharp__burgers_2d,shocks,10,single_l2,0.00507223589182969,0.5072235891829691,1.0
sharp__burgers_2d,shocks,10,uniform,0.11189365834638314,11.189365834638314,22.060026531222725
sharp__burgers_2d,shocks,10,inverse_mse,0.005132731558704948,0.5132731558704948,1.0119268244153834
sharp__burgers_2d,shocks,10,full,0.005021194483177086,0.5021194483177086,0.9899370987980228
sharp__burgers_2d,shocks,10,allpairs,0.005334614266813257,0.5334614266813257,1.051728346350414
sharp__euler,shocks,10,single_l2,0.06092792456750313,6.092792456750313,1.0
sharp__euler,shocks,10,uniform,0.0572407569476382,5.72407569476382,0.9394831245928975
sharp__euler,shocks,10,inverse_mse,0.05651463687099473,5.651463687099473,0.9275654352608246
sharp__euler,shocks,10,full,0.05741264366411921,5.741264366411921,0.942304272985874
sharp__euler,shocks,10,allpairs,0.06076209817846905,6.076209817846905,0.9972783187641595
sharp__porous_medium_2d,porous,10,single_l2,0.00032497316732467565,0.032497316732467564,1.0
sharp__porous_medium_2d,porous,10,uniform,0.0035898324066549318,0.3589832406654932,11.046550200461276
sharp__porous_medium_2d,porous,10,inverse_mse,0.00026174620314409024,0.026174620314409022,0.8054394315041514
sharp__porous_medium_2d,porous,10,full,0.0002616115151373131,0.026161151513731308,0.8050249726493298
sharp__porous_medium_2d,porous,10,allpairs,0.00032497316732467565,0.032497316732467564,1.0
sharp__allen_cahn_2d,reaction_diffusion,10,single_l2,0.3875444620938396,38.75444620938396,1.0
sharp__allen_cahn_2d,reaction_diffusion,10,uniform,0.407606959086032,40.7606959086032,1.0517682458518385
sharp__allen_cahn_2d,reaction_diffusion,10,inverse_mse,0.3767940275339486,37.67940275339486,0.9722601259690097
sharp__allen_cahn_2d,reaction_diffusion,10,full,0.3436378312637596,34.36378312637596,0.8867055651037828
sharp__allen_cahn_2d,reaction_diffusion,10,allpairs,0.5266697905952337,52.666979059523364,1.3589919147592062
ext__cahn_hilliard_2d,reaction_diffusion,10,single_l2,0.12222777894368077,12.222777894368077,1.0
ext__cahn_hilliard_2d,reaction_diffusion,10,uniform,0.19160403636933473,19.160403636933474,1.567598119062776
ext__cahn_hilliard_2d,reaction_diffusion,10,inverse_mse,0.11061966540477369,11.06196654047737,0.9050288433674658
ext__cahn_hilliard_2d,reaction_diffusion,10,full,0.10449940849059641,10.449940849059642,0.8549562905724312
ext__cahn_hilliard_2d,reaction_diffusion,10,allpairs,0.12524923572526062,12.524923572526061,1.0247198861641105
sharp__cahn_hilliard,reaction_diffusion,10,single_l2,0.5015227948820755,50.152279488207554,1.0
sharp__cahn_hilliard,reaction_diffusion,10,uniform,0.49325941623777664,49.325941623777666,0.9835234236038227
sharp__cahn_hilliard,reaction_diffusion,10,inverse_mse,0.4723656324134577,47.23656324134577,0.9418627373149138
sharp__cahn_hilliard,reaction_diffusion,10,full,0.5148234509210431,51.48234509210431,1.0265205413885425
sharp__cahn_hilliard,reaction_diffusion,10,allpairs,0.4831017654642436,48.31017654642436,0.9632698062664065
sharp__fisher_kpp_2d,reaction_diffusion,10,single_l2,0.023641621026666382,2.364162102666638,1.0
sharp__fisher_kpp_2d,reaction_diffusion,10,uniform,0.02994902248631114,2.994902248631114,1.266792258133669
sharp__fisher_kpp_2d,reaction_diffusion,10,inverse_mse,0.025232685894890805,2.5232685894890805,1.067299313631235
sharp__fisher_kpp_2d,reaction_diffusion,10,full,0.022985874194325354,2.2985874194325353,0.9722630342648085
sharp__fisher_kpp_2d,reaction_diffusion,10,allpairs,0.032156423135862394,3.2156423135862395,1.3601615176722361
sharp__phase_field_crystal_2d,reaction_diffusion,10,single_l2,0.8353961504111579,83.5396150411158,1.0
sharp__phase_field_crystal_2d,reaction_diffusion,10,uniform,0.8680656003538658,86.80656003538658,1.0391065363739453
sharp__phase_field_crystal_2d,reaction_diffusion,10,inverse_mse,0.8371224852476334,83.71224852476334,1.0020664864634892
sharp__phase_field_crystal_2d,reaction_diffusion,10,full,0.831012857230825,83.1012857230825,0.9947530364149085
sharp__phase_field_crystal_2d,reaction_diffusion,10,allpairs,0.8950925641397319,89.50925641397319,1.07145880873307
sharp__shallow_water_2d,waves,10,single_l2,0.0037328374950524068,0.3732837495052407,1.0
sharp__shallow_water_2d,waves,10,uniform,0.004539056621395726,0.4539056621395726,1.2159802368605388
sharp__shallow_water_2d,waves,10,inverse_mse,0.0034975370824531613,0.34975370824531615,0.9369647318129658
sharp__shallow_water_2d,waves,10,full,0.0034886465582929654,0.34886465582929654,0.9345830250893328
sharp__shallow_water_2d,waves,10,allpairs,0.0036669248740744073,0.3666924874074407,0.9823424885049613
ext__wave_2d,waves,10,single_l2,0.04769144129851649,4.769144129851649,1.0
ext__wave_2d,waves,10,uniform,0.10901669138311958,10.901669138311957,2.285875377528393
ext__wave_2d,waves,10,inverse_mse,0.04356018668832944,4.356018668832944,0.9133753458125083
ext__wave_2d,waves,10,full,0.04311900456835662,4.311900456835662,0.9041245849220728
ext__wave_2d,waves,10,allpairs,0.06309276956976854,6.309276956976855,1.322936943231597
darcy_generated,elliptic,20,single_l2,0.024133854267175885,2.4133854267175887,1.0
darcy_generated,elliptic,20,uniform,0.04837468017078467,4.837468017078467,2.0044324306946026
darcy_generated,elliptic,20,inverse_mse,0.025829236836397023,2.5829236836397023,1.070249142571769
darcy_generated,elliptic,20,full,0.023115022928077197,2.31150229280772,0.957784143062288
darcy_generated,elliptic,20,allpairs,0.034407136731107034,3.4407136731107033,1.4256793113192738
ext__eikonal_2d,elliptic,20,single_l2,0.018088125382175312,1.8088125382175313,1.0
ext__eikonal_2d,elliptic,20,uniform,0.022000198688157866,2.2000198688157866,1.216278537622127
ext__eikonal_2d,elliptic,20,inverse_mse,0.017831389859969904,1.7831389859969904,0.9858064052088888
ext__eikonal_2d,elliptic,20,full,0.017152038181188226,1.7152038181188225,0.9482485232046467
ext__eikonal_2d,elliptic,20,allpairs,0.021513039550523857,2.1513039550523856,1.1893459988796615
sharp__helmholtz_2d,elliptic,20,single_l2,0.0479048623916116,4.79048623916116,1.0
sharp__helmholtz_2d,elliptic,20,uniform,0.0714405060124705,7.1440506012470495,1.4912996811985442
sharp__helmholtz_2d,elliptic,20,inverse_mse,0.0595823284504646,5.95823284504646,1.243763690695786
sharp__helmholtz_2d,elliptic,20,full,0.05170180468809707,5.170180468809707,1.0792600606060887
sharp__helmholtz_2d,elliptic,20,allpairs,0.034775822177689215,3.4775822177689215,0.7259351231072245
poisson_generated_v2,elliptic,20,single_l2,6.843416283350502e-05,0.0068434162833505025,1.0
poisson_generated_v2,elliptic,20,uniform,0.011053610618380677,1.1053610618380676,161.5218212762133
poisson_generated_v2,elliptic,20,inverse_mse,7.528458690499104e-05,0.007528458690499104,1.1001024018976102
poisson_generated_v2,elliptic,20,full,7.237155672826715e-05,0.007237155672826716,1.0575355017397012
poisson_generated_v2,elliptic,20,allpairs,0.00038716113321883463,0.03871611332188346,5.657424847305687
poisson_local,elliptic,20,single_l2,0.0001209300129803047,0.012093001298030471,1.0
poisson_local,elliptic,20,uniform,0.042509963346055495,4.250996334605549,351.52533517861184
poisson_local,elliptic,20,inverse_mse,0.00012778481696020617,0.012778481696020617,1.056684058911148
poisson_local,elliptic,20,full,0.00012352588461960034,0.012352588461960034,1.021465900609127
poisson_local,elliptic,20,allpairs,0.00535569030527788,0.535569030527788,44.287519477486
ext__pressure_poisson_poiseuille,elliptic,20,single_l2,0.0007771853069501591,0.07771853069501591,1.0
ext__pressure_poisson_poiseuille,elliptic,20,uniform,0.0008851890284157071,0.08851890284157071,1.1389677860604153
ext__pressure_poisson_poiseuille,elliptic,20,inverse_mse,0.0006740948485170115,0.06740948485170115,0.8673540820815353
ext__pressure_poisson_poiseuille,elliptic,20,full,0.0006720931398340982,0.06720931398340982,0.8647784946829927
ext__pressure_poisson_poiseuille,elliptic,20,allpairs,0.0006953215762798026,0.06953215762798026,0.8946663943099912
heat_generated,diffusion,20,single_l2,9.146040517147266e-05,0.009146040517147265,1.0
heat_generated,diffusion,20,uniform,0.0025853579039850317,0.25853579039850316,28.267509849075417
heat_generated,diffusion,20,inverse_mse,5.795854920941681e-05,0.005795854920941681,0.633700988977191
heat_generated,diffusion,20,full,5.91131168258981e-05,0.00591131168258981,0.646324676947047
heat_generated,diffusion,20,allpairs,0.00012515762609369063,0.012515762609369062,1.3684350715376936
heat_local,diffusion,20,single_l2,6.6198354238464e-05,0.006619835423846399,1.0
heat_local,diffusion,20,uniform,0.001826635244107857,0.1826635244107857,27.59336338676689
heat_local,diffusion,20,inverse_mse,4.306656826920356e-05,0.004306656826920356,0.6505685641982335
heat_local,diffusion,20,full,4.290247450167437e-05,0.004290247450167437,0.6480897447560147
heat_local,diffusion,20,allpairs,8.783192215392346e-05,0.008783192215392347,1.3267991804981982
lid_driven_cavity_v2,convection,20,single_l2,0.0016429439414948936,0.16429439414948935,1.0
lid_driven_cavity_v2,convection,20,uniform,0.2749684271957638,27.49684271957638,167.36324365734205
lid_driven_cavity_v2,convection,20,inverse_mse,0.0013831202723373816,0.13831202723373817,0.8418548176871442
lid_driven_cavity_v2,convection,20,full,0.0013800483156364083,0.13800483156364082,0.8399850297878819
lid_driven_cavity_v2,convection,20,allpairs,0.0028989528097758954,0.28989528097758954,1.7644867463573806
fluid,convection,20,single_l2,0.015601371840355593,1.5601371840355593,1.0
fluid,convection,20,uniform,0.016838405734127006,1.6838405734127007,1.0792900718237877
fluid,convection,20,inverse_mse,0.015201279564981749,1.520127956498175,0.974355314425688
fluid,convection,20,full,0.015016850709010446,1.5016850709010445,0.9625339914126536
fluid,convection,20,allpairs,0.016852064993955435,1.6852064993955436,1.0801655884109314
ext__rayleigh_benard_2d,convection,20,single_l2,3.0089903282056452e-05,0.003008990328205645,1.0
ext__rayleigh_benard_2d,convection,20,uniform,0.00037796907470869515,0.037796907470869515,12.561325676779092
ext__rayleigh_benard_2d,convection,20,inverse_mse,2.8526544517895455e-05,0.0028526544517895455,0.9480437424638292
ext__rayleigh_benard_2d,convection,20,full,2.65971412503157e-05,0.00265971412503157,0.8839224573439026
ext__rayleigh_benard_2d,convection,20,allpairs,9.150088013377012e-05,0.009150088013377012,3.040916392321372
sharp__burgers_2d,shocks,20,single_l2,0.00507223589182969,0.5072235891829691,1.0
sharp__burgers_2d,shocks,20,uniform,0.11189365834638314,11.189365834638314,22.060026531222725
sharp__burgers_2d,shocks,20,inverse_mse,0.005133853446025413,0.5133853446025413,1.0121480064235528
sharp__burgers_2d,shocks,20,full,0.005027137976755668,0.5027137976755668,0.9911088687443212
sharp__burgers_2d,shocks,20,allpairs,0.005334614266813257,0.5334614266813257,1.051728346350414
sharp__euler,shocks,20,single_l2,0.059580140700759676,5.958014070075968,1.0
sharp__euler,shocks,20,uniform,0.0572407569476382,5.72407569476382,0.9607355114370912
sharp__euler,shocks,20,inverse_mse,0.05665812863387204,5.665812863387204,0.9509566101637222
sharp__euler,shocks,20,full,0.05612545490499624,5.612545490499624,0.9420161524439068
sharp__euler,shocks,20,allpairs,0.06076209817846905,6.076209817846905,1.0198381115554214
sharp__porous_medium_2d,porous,20,single_l2,0.00032497316732467565,0.032497316732467564,1.0
sharp__porous_medium_2d,porous,20,uniform,0.0035898324066549318,0.3589832406654932,11.046550200461276
sharp__porous_medium_2d,porous,20,inverse_mse,0.0002609046739349986,0.026090467393499857,0.8028498970634482
sharp__porous_medium_2d,porous,20,full,0.0002598849954292615,0.025988499542926147,0.7997121656804803
