seed,query_row,evaluation_case,method,relative_l2,error_percent
71,13,4,b5__full,0.06493852454248988,6.493852454248988
71,14,5,b5__full,0.05820640179167078,5.8206401791670785
71,15,6,b5__full,0.06817147216839384,6.817147216839384
71,16,7,b5__full,0.046316289687290194,4.63162896872902
71,10,1,b5__uniform,0.08094486483044148,8.094486483044149
71,11,2,b5__uniform,0.08046849981239644,8.046849981239644
71,12,3,b5__uniform,0.06351632291948009,6.351632291948009
71,13,4,b5__uniform,0.06141195376390333,6.141195376390333
71,14,5,b5__uniform,0.05414382502727602,5.4143825027276025
71,15,6,b5__uniform,0.05954987570134002,5.954987570134002
71,16,7,b5__uniform,0.04607388365372892,4.607388365372892
71,10,1,b5__auto,0.08069139795375399,8.0691397953754
71,11,2,b5__auto,0.08392602291080643,8.392602291080644
71,12,3,b5__auto,0.06399925680121765,6.399925680121765
71,13,4,b5__auto,0.06493852454248988,6.493852454248988
71,14,5,b5__auto,0.05820640179167078,5.8206401791670785
71,15,6,b5__auto,0.06817147216839384,6.817147216839384
71,16,7,b5__auto,0.046316289687290194,4.63162896872902
71,10,1,b5__allpairs,0.3700762833514775,37.00762833514775
71,11,2,b5__allpairs,0.27062224674666063,27.062224674666062
71,12,3,b5__allpairs,0.19251767594494745,19.251767594494744
71,13,4,b5__allpairs,0.14100808032536297,14.100808032536296
71,14,5,b5__allpairs,0.10053296976151892,10.053296976151891
71,15,6,b5__allpairs,0.08869925441155237,8.869925441155237
71,16,7,b5__allpairs,0.07548930689069738,7.5489306890697385
71,10,1,b10__selected_single,0.05740517654986265,5.740517654986265
71,11,2,b10__selected_single,0.0802000197961114,8.02000197961114
71,12,3,b10__selected_single,0.0624475136845688,6.24475136845688
71,13,4,b10__selected_single,0.0697385991608417,6.97385991608417
71,14,5,b10__selected_single,0.06588835782827697,6.588835782827697
71,15,6,b10__selected_single,0.07922904400787054,7.922904400787053
71,16,7,b10__selected_single,0.05667302347539288,5.667302347539288
71,10,1,b10__inverse_mse,0.07054771151004711,7.0547711510047115
71,11,2,b10__inverse_mse,0.07145572459149324,7.145572459149324
71,12,3,b10__inverse_mse,0.05470540828595994,5.470540828595994
71,13,4,b10__inverse_mse,0.057240644227762885,5.724064422776289
71,14,5,b10__inverse_mse,0.05134792029611847,5.134792029611847
71,15,6,b10__inverse_mse,0.05941419941851224,5.941419941851224
71,16,7,b10__inverse_mse,0.04379541211058777,4.379541211058776
71,10,1,b10__full,0.08377788085447979,8.377788085447978
71,11,2,b10__full,0.08234440854622521,8.234440854622521
71,12,3,b10__full,0.06166365021764514,6.166365021764514
71,13,4,b10__full,0.06182040133784172,6.182040133784172
71,14,5,b10__full,0.05461305504161216,5.461305504161216
71,15,6,b10__full,0.0649485332749467,6.49485332749467
71,16,7,b10__full,0.043983664942267,4.3983664942267
71,10,1,b10__uniform,0.08094486483044148,8.094486483044149
71,11,2,b10__uniform,0.08046849981239644,8.046849981239644
71,12,3,b10__uniform,0.06351632291948009,6.351632291948009
71,13,4,b10__uniform,0.06141195376390333,6.141195376390333
71,14,5,b10__uniform,0.05414382502727602,5.4143825027276025
71,15,6,b10__uniform,0.05954987570134002,5.954987570134002
71,16,7,b10__uniform,0.04607388365372892,4.607388365372892
71,10,1,b10__auto,0.08377788085447979,8.377788085447978
71,11,2,b10__auto,0.08234440854622521,8.234440854622521
71,12,3,b10__auto,0.06166365021764514,6.166365021764514
71,13,4,b10__auto,0.06182040133784172,6.182040133784172
71,14,5,b10__auto,0.05461305504161216,5.461305504161216
71,15,6,b10__auto,0.0649485332749467,6.49485332749467
71,16,7,b10__auto,0.043983664942267,4.3983664942267
71,10,1,b10__allpairs,0.3700762833514775,37.00762833514775
71,11,2,b10__allpairs,0.27062224674666063,27.062224674666062
71,12,3,b10__allpairs,0.19251767594494745,19.251767594494744
71,13,4,b10__allpairs,0.14100808032536297,14.100808032536296
71,14,5,b10__allpairs,0.10053296976151892,10.053296976151891
71,15,6,b10__allpairs,0.08869925441155237,8.869925441155237
71,16,7,b10__allpairs,0.07548930689069738,7.5489306890697385
172,10,1,expert:mf_fno_transfer_film,0.17993583763449067,17.993583763449067
172,11,2,expert:mf_fno_transfer_film,0.1700961289856892,17.00961289856892
172,12,3,expert:mf_fno_transfer_film,0.1464915805046393,14.649158050463932
172,13,4,expert:mf_fno_transfer_film,0.13814084961394393,13.814084961394393
172,14,5,expert:mf_fno_transfer_film,0.12647485451485999,12.647485451485998
172,15,6,expert:mf_fno_transfer_film,0.1280100041494777,12.801000414947769
172,16,7,expert:mf_fno_transfer_film,0.10663656567419977,10.663656567419977
172,10,1,expert:mf_fno_allpairs,0.3700762833514775,37.00762833514775
172,11,2,expert:mf_fno_allpairs,0.27062224674666063,27.062224674666062
172,12,3,expert:mf_fno_allpairs,0.19251767594494745,19.251767594494744
172,13,4,expert:mf_fno_allpairs,0.14100808032536297,14.100808032536296
172,14,5,expert:mf_fno_allpairs,0.10053296976151892,10.053296976151891
172,15,6,expert:mf_fno_allpairs,0.08869925441155237,8.869925441155237
172,16,7,expert:mf_fno_allpairs,0.07548930689069738,7.5489306890697385
172,10,1,expert:convnext_unet_film,0.2918109520095885,29.18109520095885
172,11,2,expert:convnext_unet_film,0.2802362934461874,28.02362934461874
172,12,3,expert:convnext_unet_film,0.2531796799073222,25.31796799073222
172,13,4,expert:convnext_unet_film,0.21433845032031976,21.433845032031975
172,14,5,expert:convnext_unet_film,0.17637130999414494,17.637130999414495
172,15,6,expert:convnext_unet_film,0.12590272872257743,12.590272872257744
172,16,7,expert:convnext_unet_film,0.08589640795489199,8.5896407954892
172,10,1,expert:fno_fire_distcond,0.17543047697979988,17.54304769797999
172,11,2,expert:fno_fire_distcond,0.1467387042038049,14.673870420380489
172,12,3,expert:fno_fire_distcond,0.12321587809035989,12.32158780903599
172,13,4,expert:fno_fire_distcond,0.11089842548957593,11.089842548957593
172,14,5,expert:fno_fire_distcond,0.10053482961635302,10.053482961635302
172,15,6,expert:fno_fire_distcond,0.09959644495558645,9.959644495558646
172,16,7,expert:fno_fire_distcond,0.09532167800144146,9.532167800144146
172,10,1,expert:wno_transfer_film,0.10524934958940195,10.524934958940195
172,11,2,expert:wno_transfer_film,0.09385266532924495,9.385266532924495
172,12,3,expert:wno_transfer_film,0.0969883806948456,9.698838069484559
172,13,4,expert:wno_transfer_film,0.09203391737735964,9.203391737735963
172,14,5,expert:wno_transfer_film,0.09827532566526344,9.827532566526344
172,15,6,expert:wno_transfer_film,0.09250297052813221,9.25029705281322
172,16,7,expert:wno_transfer_film,0.10381717451032267,10.381717451032268
172,10,1,expert:mf_deeponet,0.09817938296530247,9.817938296530247
172,11,2,expert:mf_deeponet,0.099047168912697,9.9047168912697
172,12,3,expert:mf_deeponet,0.09106206829353075,9.106206829353075
172,13,4,expert:mf_deeponet,0.10009503548535714,10.009503548535715
172,14,5,expert:mf_deeponet,0.09233635430592572,9.233635430592573
172,15,6,expert:mf_deeponet,0.0979037526715336,9.79037526715336
172,16,7,expert:mf_deeponet,0.08892587176394674,8.892587176394674
172,10,1,expert:st_hf_pod_gp,0.05740517654986265,5.740517654986265
172,11,2,expert:st_hf_pod_gp,0.0802000197961114,8.02000197961114
172,12,3,expert:st_hf_pod_gp,0.0624475136845688,6.24475136845688
172,13,4,expert:st_hf_pod_gp,0.0697385991608417,6.97385991608417
172,14,5,expert:st_hf_pod_gp,0.06588835782827697,6.588835782827697
172,15,6,expert:st_hf_pod_gp,0.07922904400787054,7.922904400787053
172,16,7,expert:st_hf_pod_gp,0.05667302347539288,5.667302347539288
172,10,1,expert:uqcorr_transolver_pred,0.3085207632505005,30.85207632505005
172,11,2,expert:uqcorr_transolver_pred,0.2844545612846589,28.44545612846589
172,12,3,expert:uqcorr_transolver_pred,0.23196369680642148,23.19636968064215
172,13,4,expert:uqcorr_transolver_pred,0.19512293650639623,19.512293650639624
172,14,5,expert:uqcorr_transolver_pred,0.1559416804824155,15.59416804824155
172,15,6,expert:uqcorr_transolver_pred,0.13468762800770887,13.468762800770886
172,16,7,expert:uqcorr_transolver_pred,0.11409397885349408,11.409397885349408
