dataset,partition,model,kind,budget,n_eval,mean_rel_l2
sharp__fisher_kpp_2d,273,st_hf_pod_gp,individual,,20,0.07514082343419042
sharp__fisher_kpp_2d,273,uqcorr_transolver_pred,individual,,20,0.031843259237239616
sharp__fisher_kpp_2d,273,uqcorr_convnext_pred,individual,,20,0.031691405223122526
sharp__fisher_kpp_2d,273,st_koh_pod,baseline,,20,0.0751408088952303
sharp__fisher_kpp_2d,273,st_nargp_pod,baseline,,20,0.0751408088952303
sharp__fisher_kpp_2d,273,st_mfdnn,baseline,,20,0.0661914805881679
sharp__fisher_kpp_2d,273,st_mfdeeponet,baseline,,20,0.04582473440095782
sharp__fisher_kpp_2d,273,st_dmfal,baseline,,20,0.039708671253174545
sharp__fisher_kpp_2d,273,nomad_mf,baseline,,20,0.08392938086786629
sharp__fisher_kpp_2d,273,mfrnp,baseline,,20,0.0473291605474037
sharp__fisher_kpp_2d,273,fno_coregionalization,baseline,,20,0.05481962477143319
sharp__fisher_kpp_2d,273,mf_fno_transfer,baseline,,20,0.039082013352775266
sharp__fisher_kpp_2d,273,mf_fno_transfer_bar,baseline,,20,0.039082013352775266
sharp__fisher_kpp_2d,273,st_lf_affine_pod,baseline,,20,0.07514075133949519
sharp__fisher_kpp_2d,273,st_knn,baseline,,20,0.06110325832851231
sharp__fisher_kpp_2d,273,st_mean,baseline,,20,0.07514080852270126
sharp__fisher_kpp_2d,273,selected_single,ensemble,5,20,0.027606110862119733
sharp__fisher_kpp_2d,273,inverse_mse,ensemble,5,20,0.029408148054182327
sharp__fisher_kpp_2d,273,full,ensemble,5,20,0.026482435549840803
sharp__fisher_kpp_2d,273,uniform,ensemble,5,20,0.034557716725236984
sharp__fisher_kpp_2d,273,auto,ensemble,5,20,0.026482435549840803
sharp__fisher_kpp_2d,273,selected_single,ensemble,10,20,0.027606110862119733
sharp__fisher_kpp_2d,273,inverse_mse,ensemble,10,20,0.02925345515302823
sharp__fisher_kpp_2d,273,full,ensemble,10,20,0.026507693856892223
sharp__fisher_kpp_2d,273,uniform,ensemble,10,20,0.034557716725236984
sharp__fisher_kpp_2d,273,auto,ensemble,10,20,0.026507693856892223
sharp__fisher_kpp_2d,273,selected_single,ensemble,20,20,0.027606110862119733
sharp__fisher_kpp_2d,273,inverse_mse,ensemble,20,20,0.02935962848088327
sharp__fisher_kpp_2d,273,full,ensemble,20,20,0.026486120672200342
sharp__fisher_kpp_2d,273,uniform,ensemble,20,20,0.034557716725236984
sharp__fisher_kpp_2d,273,auto,ensemble,20,20,0.026486120672200342
sharp__allen_cahn_2d,71,mf_fno_transfer_film,individual,,16,0.4410101177039567
sharp__allen_cahn_2d,71,mf_fno_allpairs,individual,,16,0.4128070668924493
sharp__allen_cahn_2d,71,convnext_unet_film,individual,,16,0.35907468086526667
sharp__allen_cahn_2d,71,fno_fire_distcond,individual,,16,0.3894080572487302
sharp__allen_cahn_2d,71,wno_transfer_film,individual,,16,0.34307301916289634
sharp__allen_cahn_2d,71,mf_deeponet,individual,,16,0.8221741681965443
sharp__allen_cahn_2d,71,st_hf_pod_gp,individual,,16,0.4561987581044884
sharp__allen_cahn_2d,71,uqcorr_transolver_pred,individual,,16,0.3434556285901912
sharp__allen_cahn_2d,71,uqcorr_convnext_pred,individual,,16,0.3253561434653415
sharp__allen_cahn_2d,71,st_koh_pod,baseline,,16,0.45612763054668903
sharp__allen_cahn_2d,71,st_nargp_pod,baseline,,16,0.9758150242269039
